release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Office Productivity Connector,Release 14 | (14.0.0.14),End of Life,57,V,V57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Workspace Productivity Connector,,End of Life,57,W,W57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Enterprise Search,Release 14 (14.0.1),End of Life,57,X,X57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,3D Visualization,Release 14 (14.0.1),End of Life,57,Y,Y57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Process Engine,Release 18 | (14.0.1),End of Life,57,Z,Z57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Event Handling Framework,,End of Life,57,AA,AA57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Reporting,,End of Life,57,AB,AB57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,OAuth Registry,,End of Life,57,AC,AC57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,AI Assistant,,End of Life,57,AD,AD57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Import Manager,,End of Life,57,AE,AE57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Workflow UI,,End of Life,57,AF,AF57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,IOM SDK,15.0.1,End of Life,57,AG,AG57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Package Import/Export Utility,,End of Life,57,AH,AH57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,3D Visualization,Release 19 (14.0.2)[1],End of Life,60,Y,Y60
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Enterprise Search,Release 20 (14.0.2),End of Life,63,X,X63
Release 17 | (Build 14.0.3.34066),Jun-2025 2,3D Visualization,Release 21 (14.0.3),End of Life,63,Y,Y63
Release 17 | (Build 14.0.3.34066),Jun-2025 2,3D Visualization,Release 26 (14.0.4),End of Life,66,Y,Y66
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Enterprise Search,Release 32 (14.0.3),End of Life,69,X,X69
Release 17 | (Build 14.0.3.34066),Jun-2025 2,3D Visualization,Release 29 (14.0.5),End of Life,69,Y,Y69
Release 17 | (Build 14.0.3.34066),Jun-2025 2,3D Visualization,Release 31 (14.0.6),End of Life,72,Y,Y72
Release 17 | (Build 14.0.3.34066),Jun-2025 2,3D Visualization,Release 33 (14.0.7),End of Life,75,Y,Y75
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Product Engineering,Release 14 | (14.0.1),End of Life,78,D,D78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Program Management,Release 14 | (14.0.1),End of Life,78,E,E78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Requirements Engineering,Release 14 | (14.0.1),End of Life,78,F,F78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Systems Architecture,Release 14 | (14.0.1),End of Life,78,G,G78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Simulation Management,Release 14 | (14.0.1),End of Life,78,H,H78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Component Engineering,Release 14 | (14.0.1),End of Life,78,I,I78
Release 18 | (Build 14.0.4.34465),Jun-2025 2,Technical Documentation,Release 14 | (14.0.1),End of Life,78,J,J78
